Post,Comment,Sentiment
Uganda among top US aid recipients,Mpaho,negative
Uganda among top US aid recipients,USA is our second home after Ugandan soil.,positive
Uganda among top US aid recipients,Let them stop after all they are of no use .the ARVS they are meant to buy don't .they are giving expired ones,negative
250 drivers arrested as police tightens rules ahead of Christmas,It's not enough to only do it as the Xmas and New years day festive seaon approaches. It should be a daily job. Kasiima weddekko,positive
251 drivers arrested as police tightens rules ahead of Christmas,Raise the number to 1000 before i thank you wholeheartedly,positive
252 drivers arrested as police tightens rules ahead of Christmas,Good Job. Please keep it up to cub down avoidable accidents. Especially on Masaka Rd.,positive
253 drivers arrested as police tightens rules ahead of Christmas,And it will only be for a day  they'll again wake up after numerous accidents.,negative
254 drivers arrested as police tightens rules ahead of Christmas,i think the police is right  because  that masaka road has become very problematic,positive
255 drivers arrested as police tightens rules ahead of Christmas,Subject all drivers to drugs ' test whoever tests positive you cancel the driving license.,positive
256 drivers arrested as police tightens rules ahead of Christmas,Let's hope they are not making money for Xmas,negative
257 drivers arrested as police tightens rules ahead of Christmas,#dailymonitor  by d time u posted dis update those motorists cud hav bn released by police  wat else does police want other dan mmmmmoney 4 x-mas& new-year!!!,negative
258 drivers arrested as police tightens rules ahead of Christmas,I advise police to use BEES 4 deployment in this Christmas season.,positive
259 drivers arrested as police tightens rules ahead of Christmas,time to make some Christmas dime,negative
260 drivers arrested as police tightens rules ahead of Christmas,They are looking for Christmas money,negative
261 drivers arrested as police tightens rules ahead of Christmas,Arrest even more,positive
262 drivers arrested as police tightens rules ahead of Christmas,Good work police,positive
263 drivers arrested as police tightens rules ahead of Christmas,Xmas seekers,negative
264 drivers arrested as police tightens rules ahead of Christmas,Well done,positive
265 drivers arrested as police tightens rules ahead of Christmas,Big up !,positive
266 drivers arrested as police tightens rules ahead of Christmas,Typical third world country,negative
Judicial officers meet on Monday to decide on industrial action,Am not in support of these guys salaries and + + to be given them  judiciary is rotting with corruption  its not independent  bribes  etc. Let CJ first clean house.,negative
Judicial officers meet on Monday to decide on industrial action,As you discuss  also tackle The issue of state attorney's. As you realise sorting out judges and magistrates when state attorneys are left behind Will still lead to chaos.sort judiciary issues at once and get to work. Prisoners are rotting in jail while dangerous suspects are being released because no attorneys to remand them.,negative
Judicial officers meet on Monday to decide on industrial action,Give judges all that they want  give doctors and nurses all they asked for and even engineers are almost starting pliz we expect u for provide all those demands on table ;m7 showed us that uganda is rich by paying big money to fools while giving pinuts to the technocrats. Every one who do govt job and feels they are not well paid should strike and let's see if they can use those idiot they are giving money to work.,positive
Judicial officers meet on Monday to decide on industrial action,every one industrial action then why don't they resign and create their own employment in the field of justice  after all they arent even just especially to the poor but support the rich,negative
Judicial officers meet on Monday to decide on industrial action,Ugandans are just greed for money thats why everyone is talking about salary increase and yet no work is been done.,negative
Judicial officers meet on Monday to decide on industrial action,More than 30 million Ugandans live on less than a dollar a day  are dreaming of buying a bicycle  afford a kg of sugar and maybe... Just maybe... Eat some chips and chicken from KFC...!,negative
Judicial officers meet on Monday to decide on industrial action,i think the gov't should import judicial officers from Cuba like it thought abt the striking doctors.,negative
Judicial officers meet on Monday to decide on industrial action,The timing is perfect for everything on demand,positive
Judicial officers meet on Monday to decide on industrial action,Very right  but security guards?? When thy are suffering more than any only that thy don't talk,positive
Judicial officers meet on Monday to decide on industrial action,Other than wasting time on jikwateko,negative
Judicial officers meet on Monday to decide on industrial action,tttttuuufudde!!  all these demands will govt b in position 2 meet /fulfill them???,positive
Judicial officers meet on Monday to decide on industrial action,Very soon you will hear Jenifer musisi also demanding for a salary increment and a new car.,negative
Judicial officers meet on Monday to decide on industrial action,they hire the cuhan judicial officers to replace them,negative
Judicial officers meet on Monday to decide on industrial action,Everything has an end  God is watching!,negative
Judicial officers meet on Monday to decide on industrial action,I support them,positive
Judicial officers meet on Monday to decide on industrial action,They are the most corrupt,negative
Judicial officers meet on Monday to decide on industrial action,Poor dad rich dad,negative
Judicial officers meet on Monday to decide on industrial action,THESE R OTHER SHAMELESS THIEVES MBU JUDICIARY.THE INNOCENT BLOOD U MAKE GUILTY WIL RUIN THAT BRIBE U ENJOY,negative
